#TYPE System.Object
"Timestamp","Message","ExceptionType","ExceptionMessage"
"12/19/2009 7:03:34 PM","????? ?????????????????? ?????????????-???? was not crawled","System.Xml.XmlException","Unexpected XML declaration. The XML declaration must be the first node in the document, and no white space characters are allowed to appear before it. Line 1, position 4."
"12/19/2009 7:04:14 PM","SceneDDL was not crawled","System.Net.WebException","The remote server returned an error: (404) Not Found."
"12/19/2009 7:04:14 PM","Serial Complainer was not crawled","System.NullReferenceException","Object reference not set to an instance of an object."
"12/19/2009 7:04:59 PM","Items for f59475fb-3648-45a8-93af-b36763f194ad was not classified","System.InvalidOperationException","Prob does not exist for user f59475fb-3648-45a8-93af-b36763f194ad and word bbc"
"12/19/2009 7:04:59 PM","Items for 55221e25-c13e-44e5-87a8-7766e41bebd1 was not classified","System.InvalidOperationException","Prior does not exist for user 55221e25-c13e-44e5-87a8-7766e41bebd1"
"12/20/2009 12:02:28 AM","????? ?????????????????? ?????????????-???? was not crawled","System.Xml.XmlException","Unexpected XML declaration. The XML declaration must be the first node in the document, and no white space characters are allowed to appear before it. Line 1, position 4."
"12/20/2009 12:02:46 AM","SceneDDL was not crawled","System.Net.WebException","The remote server returned an error: (404) Not Found."
"12/20/2009 12:02:47 AM","Serial Complainer was not crawled","System.NullReferenceException","Object reference not set to an instance of an object."
"12/20/2009 12:03:17 AM","Items for f59475fb-3648-45a8-93af-b36763f194ad was not classified","System.InvalidOperationException","Prob does not exist for user f59475fb-3648-45a8-93af-b36763f194ad and word bbc"
"12/20/2009 12:03:17 AM","Items for 55221e25-c13e-44e5-87a8-7766e41bebd1 was not classified","System.InvalidOperationException","Prior does not exist for user 55221e25-c13e-44e5-87a8-7766e41bebd1"
"12/21/2009 12:01:14 AM","Bokardo - Social Design by Joshua Porter was not crawled","System.Net.WebException","The remote server returned an error: (500) Internal Server Error."
"12/21/2009 12:02:54 AM","????? ?????????????????? ?????????????-???? was not crawled","System.Xml.XmlException","Unexpected XML declaration. The XML declaration must be the first node in the document, and no white space characters are allowed to appear before it. Line 1, position 4."
"12/21/2009 12:03:17 AM","SceneDDL was not crawled","System.Net.WebException","The remote server returned an error: (404) Not Found."
"12/21/2009 12:03:17 AM","Serial Complainer was not crawled","System.NullReferenceException","Object reference not set to an instance of an object."
"12/21/2009 12:03:51 AM","Items for f59475fb-3648-45a8-93af-b36763f194ad was not classified","System.InvalidOperationException","Prob does not exist for user f59475fb-3648-45a8-93af-b36763f194ad and word bbc"
"12/21/2009 12:03:52 AM","Items for 55221e25-c13e-44e5-87a8-7766e41bebd1 was not classified","System.InvalidOperationException","Prior does not exist for user 55221e25-c13e-44e5-87a8-7766e41bebd1"
"12/22/2009 12:01:44 AM","Bokardo - Social Design by Joshua Porter was not crawled","System.Net.WebException","Unable to connect to the remote server"
"12/22/2009 12:03:22 AM","????? ?????????????????? ?????????????-???? was not crawled","System.Xml.XmlException","Unexpected XML declaration. The XML declaration must be the first node in the document, and no white space characters are allowed to appear before it. Line 1, position 4."
"12/22/2009 12:03:49 AM","SceneDDL was not crawled","System.Net.WebException","The remote server returned an error: (404) Not Found."
"12/22/2009 12:03:50 AM","Serial Complainer was not crawled","System.NullReferenceException","Object reference not set to an instance of an object."
"12/22/2009 12:04:32 AM","Items for f59475fb-3648-45a8-93af-b36763f194ad was not classified","System.InvalidOperationException","Prob does not exist for user f59475fb-3648-45a8-93af-b36763f194ad and word bbc"
"12/22/2009 12:04:32 AM","Items for 55221e25-c13e-44e5-87a8-7766e41bebd1 was not classified","System.InvalidOperationException","Prior does not exist for user 55221e25-c13e-44e5-87a8-7766e41bebd1"
"12/23/2009 12:01:26 AM","Bokardo - Social Design by Joshua Porter was not crawled","System.Net.WebException","The remote server returned an error: (500) Internal Server Error."
"12/23/2009 12:04:18 AM","PChome ???? was not crawled","System.Net.WebException","The request was aborted: The connection was closed unexpectedly."
"12/23/2009 12:04:46 AM","????? ?????????????????? ?????????????-???? was not crawled","System.Xml.XmlException","Unexpected XML declaration. The XML declaration must be the first node in the document, and no white space characters are allowed to appear before it. Line 1, position 4."
"12/23/2009 12:04:55 AM","BensBargains.net Latest Deals was not crawled","Avilay.Syndication.BadlyFormedFeedException","http://bensbargains.net/rss.xml/1 XML is badly formed"
"12/23/2009 12:05:13 AM","SceneDDL was not crawled","System.Net.WebException","The remote server returned an error: (404) Not Found."
"12/23/2009 12:05:14 AM","Serial Complainer was not crawled","System.NullReferenceException","Object reference not set to an instance of an object."
"12/23/2009 12:05:48 AM","Items for f59475fb-3648-45a8-93af-b36763f194ad was not classified","System.InvalidOperationException","Prob does not exist for user f59475fb-3648-45a8-93af-b36763f194ad and word bbc"
"12/23/2009 12:05:48 AM","Items for 55221e25-c13e-44e5-87a8-7766e41bebd1 was not classified","System.InvalidOperationException","Prior does not exist for user 55221e25-c13e-44e5-87a8-7766e41bebd1"
